support,itemsets
0.13668355555555556,frozenset({'办公'})
0.25068355555555555,frozenset({'家居'})
0.48761244444444446,frozenset({'服装'})
0.134848,frozenset({'母婴'})
0.13150755555555554,frozenset({'汽车用品'})
0.20086844444444443,frozenset({'玩具'})
0.483832,frozenset({'电子产品'})
0.13290133333333334,frozenset({'运动户外'})
0.4841413333333333,frozenset({'食品'})
0.03137511111111111,"frozenset({'办公', '家居'})"
0.061803555555555556,"frozenset({'服装', '办公'})"
0.01684,"frozenset({'母婴', '办公'})"
0.016172444444444444,"frozenset({'办公', '汽车用品'})"
0.02500888888888889,"frozenset({'玩具', '办公'})"
0.06165777777777778,"frozenset({'电子产品', '办公'})"
0.0166,"frozenset({'运动户外', '办公'})"
0.061328,"frozenset({'食品', '办公'})"
0.11420622222222222,"frozenset({'服装', '家居'})"
0.03100977777777778,"frozenset({'母婴', '家居'})"
0.030074666666666666,"frozenset({'汽车用品', '家居'})"
0.045864888888888886,"frozenset({'玩具', '家居'})"
0.11309066666666667,"frozenset({'电子产品', '家居'})"
0.030362666666666666,"frozenset({'运动户外', '家居'})"
0.11298844444444445,"frozenset({'食品', '家居'})"
0.06122222222222222,"frozenset({'服装', '母婴'})"
0.059706666666666665,"frozenset({'服装', '汽车用品'})"
0.09100888888888889,"frozenset({'服装', '玩具'})"
0.22244977777777777,"frozenset({'服装', '电子产品'})"
0.06031555555555555,"frozenset({'服装', '运动户外'})"
0.22275377777777777,"frozenset({'服装', '食品'})"
0.015909333333333334,"frozenset({'母婴', '汽车用品'})"
0.024654222222222223,"frozenset({'母婴', '玩具'})"
0.06045244444444445,"frozenset({'母婴', '电子产品'})"
0.016126222222222222,"frozenset({'母婴', '运动户外'})"
0.06050222222222222,"frozenset({'母婴', '食品'})"
0.023920888888888887,"frozenset({'玩具', '汽车用品'})"
0.05904977777777778,"frozenset({'电子产品', '汽车用品'})"
0.015931555555555556,"frozenset({'运动户外', '汽车用品'})"
0.05910488888888889,"frozenset({'食品', '汽车用品'})"
0.0904071111111111,"frozenset({'电子产品', '玩具'})"
0.02411288888888889,"frozenset({'运动户外', '玩具'})"
0.09044355555555555,"frozenset({'玩具', '食品'})"
0.05960711111111111,"frozenset({'运动户外', '电子产品'})"
0.22127911111111112,"frozenset({'电子产品', '食品'})"
0.05963466666666667,"frozenset({'运动户外', '食品'})"
0.013149333333333334,"frozenset({'服装', '办公', '家居'})"
0.0050435555555555555,"frozenset({'玩具', '办公', '家居'})"
0.013101333333333333,"frozenset({'电子产品', '办公', '家居'})"
0.013070222222222223,"frozenset({'食品', '办公', '家居'})"
0.007038222222222223,"frozenset({'服装', '母婴', '办公'})"
0.006759111111111111,"frozenset({'服装', '办公', '汽车用品'})"
0.010408,"frozenset({'服装', '玩具', '办公'})"
0.026723555555555556,"frozenset({'服装', '电子产品', '办公'})"
0.006850666666666666,"frozenset({'服装', '运动户外', '办公'})"
0.026382222222222224,"frozenset({'服装', '食品', '办公'})"
0.0069626666666666665,"frozenset({'母婴', '电子产品', '办公'})"
0.006950222222222222,"frozenset({'母婴', '食品', '办公'})"
0.006691555555555556,"frozenset({'电子产品', '办公', '汽车用品'})"
0.006646222222222223,"frozenset({'食品', '办公', '汽车用品'})"
0.010525333333333333,"frozenset({'玩具', '电子产品', '办公'})"
0.010384,"frozenset({'玩具', '食品', '办公'})"
0.006781333333333334,"frozenset({'运动户外', '电子产品', '办公'})"
0.02640711111111111,"frozenset({'电子产品', '食品', '办公'})"
0.006743111111111111,"frozenset({'运动户外', '食品', '办公'})"
0.013179555555555555,"frozenset({'服装', '母婴', '家居'})"
0.012753777777777777,"frozenset({'服装', '汽车用品', '家居'})"
0.019328,"frozenset({'服装', '玩具', '家居'})"
0.049502222222222225,"frozenset({'服装', '电子产品', '家居'})"
0.012778666666666667,"frozenset({'服装', '运动户外', '家居'})"
0.049417777777777776,"frozenset({'服装', '食品', '家居'})"
0.012884444444444445,"frozenset({'母婴', '电子产品', '家居'})"
0.012853333333333333,"frozenset({'母婴', '食品', '家居'})"
0.012448,"frozenset({'汽车用品', '电子产品', '家居'})"
0.012597333333333334,"frozenset({'汽车用品', '食品', '家居'})"
0.019288,"frozenset({'电子产品', '玩具', '家居'})"
0.019157333333333332,"frozenset({'玩具', '食品', '家居'})"
0.012683555555555556,"frozenset({'运动户外', '电子产品', '家居'})"
0.04884622222222222,"frozenset({'电子产品', '食品', '家居'})"
0.012630222222222222,"frozenset({'运动户外', '食品', '家居'})"
0.0065884444444444445,"frozenset({'服装', '母婴', '汽车用品'})"
0.010373333333333333,"frozenset({'服装', '母婴', '玩具'})"
0.026159111111111112,"frozenset({'服装', '母婴', '电子产品'})"
0.006667555555555556,"frozenset({'服装', '母婴', '运动户外'})"
0.026248888888888888,"frozenset({'服装', '母婴', '食品'})"
0.009975111111111112,"frozenset({'服装', '玩具', '汽车用品'})"
0.025434666666666668,"frozenset({'服装', '电子产品', '汽车用品'})"
0.006694222222222222,"frozenset({'服装', '运动户外', '汽车用品'})"
0.02563022222222222,"frozenset({'服装', '食品', '汽车用品'})"
0.03936622222222222,"frozenset({'服装', '电子产品', '玩具'})"
0.010061333333333334,"frozenset({'服装', '运动户外', '玩具'})"
0.039315555555555555,"frozenset({'服装', '玩具', '食品'})"
0.025659555555555557,"frozenset({'服装', '运动户外', '电子产品'})"
0.09936977777777778,"frozenset({'服装', '电子产品', '食品'})"
0.025777777777777778,"frozenset({'服装', '运动户外', '食品'})"
0.006514666666666667,"frozenset({'母婴', '电子产品', '汽车用品'})"
0.0065528888888888885,"frozenset({'母婴', '食品', '汽车用品'})"
0.010210666666666667,"frozenset({'母婴', '电子产品', '玩具'})"
0.01018488888888889,"frozenset({'母婴', '食品', '玩具'})"
0.006643555555555555,"frozenset({'母婴', '运动户外', '电子产品'})"
0.025882666666666665,"frozenset({'母婴', '电子产品', '食品'})"
0.006672888888888889,"frozenset({'母婴', '运动户外', '食品'})"
0.009946666666666666,"frozenset({'电子产品', '玩具', '汽车用品'})"
0.009914666666666667,"frozenset({'玩具', '食品', '汽车用品'})"
0.0065706666666666665,"frozenset({'运动户外', '电子产品', '汽车用品'})"
0.025397333333333334,"frozenset({'电子产品', '食品', '汽车用品'})"
0.006536888888888889,"frozenset({'运动户外', '食品', '汽车用品'})"
0.009835555555555556,"frozenset({'运动户外', '电子产品', '玩具'})"
0.03910488888888889,"frozenset({'玩具', '电子产品', '食品'})"
0.010005333333333333,"frozenset({'玩具', '运动户外', '食品'})"
0.025520888888888888,"frozenset({'运动户外', '电子产品', '食品'})"
0.009775111111111111,"frozenset({'服装', '食品', '办公', '电子产品'})"
0.006873777777777778,"frozenset({'服装', '电子产品', '玩具', '家居'})"
0.006848,"frozenset({'服装', '玩具', '食品', '家居'})"
0.018534222222222223,"frozenset({'服装', '电子产品', '食品', '家居'})"
0.006847111111111111,"frozenset({'玩具', '电子产品', '食品', '家居'})"
0.009707555555555556,"frozenset({'服装', '母婴', '电子产品', '食品'})"
0.009349333333333333,"frozenset({'服装', '电子产品', '食品', '汽车用品'})"
0.014752,"frozenset({'服装', '玩具', '电子产品', '食品'})"
0.009403555555555556,"frozenset({'服装', '运动户外', '电子产品', '食品'})"
